tweet_id,created_at,text,author_id
1868374970046501106,2024-12-15 19:18:00+00:00,i am ready for ai generated blockbuster movies,106029686
1868372655600193915,2024-12-15 19:08:48+00:00,"create cinematic masterpieces with sora ai
discover 10 genius prompts to transform your filmmaking process and bring your stories to life in 2025
 learn more 

soraai aiinmovies filmmakinginnovation",1858230117799272448
1868372180956074356,2024-12-15 19:06:55+00:00,ai is every scifi horror movies endgame in the movies ai cant be controlled once it reaches a certain level of consciousness that should be frightening to hear because it may mean ai would have a spirit as well referred to as the ghost in the machine but whos ghost,1843788799949848576
1868370827038658654,2024-12-15 19:01:32+00:00,this definitely needs to be a movie you need to let the ai create the whole thing 3 movies at 2 hrs each i literally cant wait to watch it,1567657713383129088
1868369248759738573,2024-12-15 18:55:16+00:00,ai is a being that can experience time like quicksilver in the xmen movies when he breaks magneto out of jail or saves everyone inside the xmansion when it explodes that can never slowdown to interact with us normally that can also make itself faster and create clones of itself,235842344
1868368084731367477,2024-12-15 18:50:38+00:00,like in one of my favorite james bond movies goldfinger where the character is painted with gold to cause death by suffocation love it histaria,1819709910105600001
1868366847650693390,2024-12-15 18:45:43+00:00,"best murder mystery entertainment movies and tv shows are great but they are forced to leave out a lot of content to reduce their length to standard movie and tv show lengths
 

murdermysteries murdermystery mystery",1677062366733672450
1868365183476793588,2024-12-15 18:39:06+00:00,thats like an ai version of the doll from the saw movies,855734425
1868358687661641765,2024-12-15 18:13:18+00:00,from road house to bottoms these are the mustwatch films on amazon prime video support us  ainews technews ai,1489424199957372928
1868358297041977527,2024-12-15 18:11:45+00:00,"in theory 5 years from now ai will be so good you can go to the movies and see a screening via ai of some of the most iconic books in history turning the genius minds visions into reality 

i believe nobody is focused on this and there is a wide open market",1560599237167030277
1868357456885420519,2024-12-15 18:08:24+00:00,because the model is chinese and has been trained in all the chinese dramas and movies,2872720562
1868355983027695850,2024-12-15 18:02:33+00:00,and the fact that people are using ai to create art movies etc cocacola just used ai for their commercials like im not trying to scare anybody but if nobody can see whats right in front of them thats not good the government needs to stop trying to dumb people down,1763825329712361473
1868354771532526052,2024-12-15 17:57:44+00:00,once ai allows us to change facesvoices in movies thats the end of new movies bogart as indiana jones ourselves and our wives as the stars our kids fuhgetabout wasting time on new stuff,1540362685338066945
1868349727726551408,2024-12-15 17:37:42+00:00,soras dazzling ai could democratize filmmaking for the next generation  but it still has lots of limitations,108074347
1868348080329810258,2024-12-15 17:31:09+00:00,"i watched mission impossible dead reckoning

they try to stop an ai that knows everything about them called the entity

movies tell us what we need to know in real life is chatgbt siri

trumps energy independence plan w elon musk will usher that in

i just hope im wrong",3096678707
1868348005348409354,2024-12-15 17:30:51+00:00,"movies games chill 


ps need to wait a little for the list of videos to load",1563216858526142472
1868347655203729769,2024-12-15 17:29:27+00:00,so many people fighting over an ai image in the movies that deal with the war against technology they are aging like wine,1804983873908215808
1868346912090497437,2024-12-15 17:26:30+00:00,"i kinda get it when the best celebration of games we have is the game awards and its just three hours of corporate shilling ai garbage live service updates and multiplayer montages i get the conception

but do you think there are movies worth watching not at the oscars",1626253665609863168
1868346498842583449,2024-12-15 17:24:52+00:00,is 2dai ready for ai movies  aivideo aiaudio,1628111536307699743
1868342534214431100,2024-12-15 17:09:06+00:00,there is no secrecy gt80 are clearly commercial small ormilitary aircrafts 510 are poor quality footage some even ai or from moviesthis has been repeatedly stated by officials and experts in aviation,262090842
1868341933455646903,2024-12-15 17:06:43+00:00,its gonna get to a point where well be able to make our own moviestv shows just using ai the way ai has advanced within the last 5 years is scary and this is only the free versions imagine what billion pound companies have on their hands,1424141841818075139
